niche_breadth,type
11.80671296,rare
22.61862528,rare
17.60310613,rare
13.36083824,rare
20.51853733,rare
24.20671061,rare
22.63361345,rare
23.72342924,rare
25.17196262,rare
9.798932816,rare
19.96007984,rare
22.12389381,rare
26.88458927,rare
25.36899423,rare
26.81532148,rare
24.64063492,rare
18.0423059,rare
21.91360813,rare
18.59559176,rare
30.15462315,rare
11.79963515,rare
20.13417191,rare
17.25786164,rare
18.39622642,rare
25.9556314,rare
30.73969281,rare
21.84089604,rare
21.93240093,rare
14.06427504,rare
28.98754864,rare
30.11236863,rare
17.72917658,rare
23.29518449,rare
24.84097035,rare
26.63583815,rare
18.46893788,rare
30.31578947,rare
26.03389831,rare
26.55907781,rare
20.93000574,rare
18.60326364,rare
16.94426382,rare
26.92324723,rare
26.42752562,rare
19.94475138,rare
20.54111558,rare
28.92388664,rare
29.30352748,rare
28.36597111,rare
28.73495935,rare
26.18074074,rare
16.70321361,rare
17.44521224,rare
14.11748082,rare
10.69715509,rare
27.15541601,rare
22.40673575,rare
17.4375,rare
20.88163514,rare
15.00438404,rare
17.10394803,rare
31.25570776,rare
27.44587009,rare
19.10609481,rare
22.60080107,rare
18.00851064,rare
30.14311431,rare
25.62280031,rare
23.43526942,rare
17.8608,rare
23.45892351,rare
29.1584507,rare
23.55903272,rare
24.86786787,rare
13.04094488,rare
18.11000553,rare
19.65266947,rare
21.45448592,rare
13.31206826,rare
26.04501608,rare
20.50632911,rare
25.86037127,rare
31.75520317,rare
17.36639566,rare
25.24901497,rare
20.06324358,rare
24.8958819,rare
20.4996801,rare
21.09348255,rare
24.48531685,rare
17.78002245,rare
28.28928571,rare
26.71500843,rare
33.99570815,rare
21.12266667,rare
7.324994155,rare
27.45749343,rare
25.24496374,rare
22.31700288,rare
19.50629723,rare
19.90745501,rare
22.54439592,rare
14.76453765,rare
15.09551657,rare
14.28782288,rare
13.32100913,rare
24.17127072,rare
25.28901734,rare
14.76878049,rare
23.00607903,rare
16.63516484,rare
9.026833631,rare
16.18658734,rare
6.800499886,rare
27.78922934,rare
25.42820731,rare
17.95380924,rare
27.23293904,rare
19.80741231,rare
25.60222412,rare
30.81666667,rare
19.77540107,rare
30.0040568,rare
27.09157509,rare
13.59558824,rare
16.88584475,rare
14.29178744,rare
15.53781513,rare
6.54893617,rare
20.04180946,rare
15.0030785,rare
18.78034682,rare
23.44907779,rare
21.96919609,rare
26.03603604,rare
26.90875233,rare
24.12353923,rare
14.12512219,rare
10.4483008,rare
18.34360951,rare
25.98817106,rare
6.356777209,rare
21.62074186,rare
18.41457124,rare
11.39722109,rare
26.79058598,rare
20.70452858,rare
32.69519343,rare
31.09141583,rare
25.9916123,rare
22.3648757,rare
14.90593266,rare
24.44259422,rare
18.07453014,rare
17.46336882,rare
18.89986283,rare
24.82522523,rare
19.96811594,rare
14.7832618,rare
17.70951157,rare
26.75339806,rare
19.24301676,rare
20.6257485,rare
21.55581948,rare
26.71736997,rare
24.28635147,rare
23.01352494,rare
27.75229358,rare
22.00889248,rare
12.8601795,rare
27.80898876,rare
21.83116883,rare
17.81192053,rare
23.10652921,rare
16.20240964,rare
21.0125,rare
22.30182421,rare
19.02121641,rare
9.158566012,rare
29.48834628,rare
27.53264249,rare
19.87210172,rare
17.24140169,rare
31.9270073,rare
22.58519793,rare
22.32644272,rare
28.39101862,rare
33.36036036,rare
22.28804815,rare
20.07823393,rare
8.677966102,rare
28.31858407,rare
23.27272727,rare
24.10546139,rare
22.33856894,rare
18.00281294,rare
15.36614646,rare
24.24242424,rare
6.243763892,rare
18.35947712,rare
27.4495114,rare
27.56924755,rare
18.60264901,rare
10.22280631,rare
21.73774721,rare
20.84171476,rare
19.735363,rare
14.95032525,rare
19.87579618,rare
22.73588342,rare
12.49449449,rare
22.0920354,rare
14.68470588,rare
29.1635514,rare
30.2961165,rare
12.78893443,rare
22.49009009,rare
22.71797235,rare
14.55936208,rare
14.47386964,rare
19.54718477,rare
25.07527976,rare
20.65874363,rare
21.34736842,rare
18.74884438,rare
28.23201856,rare
20.65874363,rare
28.56338028,rare
20.69387755,rare
28.56338028,rare
21.66366096,rare
30.06883605,rare
22.72942289,rare
17.73062731,rare
23.95314058,rare
16.71885873,rare
27.90117647,rare
20.09830508,rare
20.40963855,rare
12.3908046,rare
26.87600459,rare
22.06314797,rare
30.28331177,rare
25.75247525,rare
23.66936299,rare
17.40446097,rare
18.30258014,rare
27.25145518,rare
17.82863671,rare
3.1701427,rare
23.104,rare
26.61751152,rare
24.84301075,rare
14.20910209,rare
23.29009193,rare
27.70473876,rare
15.75742916,rare
19.98334794,rare
17.88553259,rare
26.47058824,rare
13.73626374,rare
25.33783784,rare
23.4375,rare
26.9138756,rare
31.49078014,rare
19.94699012,rare
16.88288973,rare
23.34490011,rare
20.42410304,rare
28.79507134,rare
8.955627269,rare
31.13744741,rare
24.83446712,rare
22.91213389,rare
22.5814433,rare
21.43248532,rare
23.00840336,rare
23.05684211,rare
25.11926606,rare
17.38412698,rare
16.3219076,rare
31.73127753,rare
21.5443669,rare
22.48595213,rare
15.57966835,rare
24.41694915,rare
23.73719376,rare
11.98875141,rare
6.160693642,rare
24.90186916,rare
24.16780045,rare
