ID,type,node.degree,relative.degree,network,Salinity
ASV_843,abundant,18,2.292993631,n1,0.81375
ASV_85,abundant,43,5.477707006,n1,0.81375
ASV_86,abundant,13,1.656050955,n1,0.81375
ASV_87,abundant,18,2.292993631,n1,0.81375
ASV_88,abundant,1,0.127388535,n1,0.81375
ASV_89,abundant,16,2.038216561,n1,0.81375
ASV_91,abundant,7,0.891719745,n1,0.81375
ASV_92,abundant,12,1.52866242,n1,0.81375
ASV_93,abundant,1,0.127388535,n1,0.81375
ASV_95,abundant,2,0.25477707,n1,0.81375
ASV_97,abundant,5,0.636942675,n1,0.81375
ASV_1006,rare,1,0.127388535,n1,0.81375
ASV_1008,rare,1,0.127388535,n1,0.81375
ASV_1014,rare,2,0.25477707,n1,0.81375
ASV_1037,rare,5,0.636942675,n1,0.81375
ASV_1063,rare,1,0.127388535,n1,0.81375
ASV_1078,rare,1,0.127388535,n1,0.81375
ASV_1079,rare,1,0.127388535,n1,0.81375
ASV_1108,rare,4,0.50955414,n1,0.81375
ASV_1110,rare,1,0.127388535,n1,0.81375
ASV_1115,rare,5,0.636942675,n1,0.81375
ASV_1122,rare,1,0.127388535,n1,0.81375
ASV_1137,rare,1,0.127388535,n1,0.81375
ASV_1141,rare,1,0.127388535,n1,0.81375
ASV_1162,rare,1,0.127388535,n1,0.81375
ASV_1179,rare,1,0.127388535,n1,0.81375
ASV_1181,rare,10,1.27388535,n1,0.81375
ASV_1183,rare,4,0.50955414,n1,0.81375
ASV_1192,rare,1,0.127388535,n1,0.81375
ASV_1194,rare,2,0.25477707,n1,0.81375
ASV_1197,rare,4,0.50955414,n1,0.81375
ASV_1204,rare,5,0.636942675,n1,0.81375
ASV_1207,rare,1,0.127388535,n1,0.81375
ASV_1230,rare,3,0.382165605,n1,0.81375
ASV_1236,rare,1,0.127388535,n1,0.81375
ASV_1248,rare,1,0.127388535,n1,0.81375
ASV_1259,rare,1,0.127388535,n1,0.81375
ASV_1262,rare,2,0.25477707,n1,0.81375
ASV_1267,rare,1,0.127388535,n1,0.81375
ASV_1289,rare,2,0.25477707,n1,0.81375
ASV_1301,rare,2,0.25477707,n1,0.81375
ASV_1313,rare,1,0.127388535,n1,0.81375
ASV_1319,rare,3,0.382165605,n1,0.81375
ASV_1322,rare,1,0.127388535,n1,0.81375
ASV_1333,rare,5,0.636942675,n1,0.81375
ASV_1350,rare,2,0.25477707,n1,0.81375
ASV_1368,rare,2,0.25477707,n1,0.81375
ASV_1370,rare,3,0.382165605,n1,0.81375
ASV_1384,rare,1,0.127388535,n1,0.81375
ASV_1386,rare,2,0.25477707,n1,0.81375
ASV_1402,rare,1,0.127388535,n1,0.81375
ASV_1408,rare,8,1.01910828,n1,0.81375
ASV_1425,rare,2,0.25477707,n1,0.81375
ASV_1438,rare,1,0.127388535,n1,0.81375
ASV_1440,rare,4,0.50955414,n1,0.81375
ASV_1442,rare,1,0.127388535,n1,0.81375
ASV_1450,rare,1,0.127388535,n1,0.81375
ASV_1462,rare,3,0.382165605,n1,0.81375
ASV_1473,rare,6,0.76433121,n1,0.81375
ASV_1486,rare,4,0.50955414,n1,0.81375
ASV_1495,rare,2,0.25477707,n1,0.81375
ASV_1512,rare,4,0.50955414,n1,0.81375
ASV_1528,rare,2,0.25477707,n1,0.81375
ASV_1536,rare,1,0.127388535,n1,0.81375
ASV_1547,rare,1,0.127388535,n1,0.81375
ASV_1558,rare,1,0.127388535,n1,0.81375
ASV_1568,rare,2,0.25477707,n1,0.81375
ASV_1569,rare,3,0.382165605,n1,0.81375
ASV_1605,rare,5,0.636942675,n1,0.81375
ASV_1612,rare,2,0.25477707,n1,0.81375
ASV_1620,rare,31,3.949044586,n1,0.81375
ASV_1626,rare,26,3.312101911,n1,0.81375
ASV_1662,rare,1,0.127388535,n1,0.81375
ASV_1738,rare,3,0.382165605,n1,0.81375
ASV_1815,rare,3,0.382165605,n1,0.81375
ASV_1822,rare,1,0.127388535,n1,0.81375
ASV_1825,rare,2,0.25477707,n1,0.81375
ASV_1829,rare,1,0.127388535,n1,0.81375
ASV_1834,rare,8,1.01910828,n1,0.81375
ASV_1890,rare,2,0.25477707,n1,0.81375
ASV_1943,rare,3,0.382165605,n1,0.81375
ASV_1971,rare,4,0.50955414,n1,0.81375
ASV_2035,rare,2,0.25477707,n1,0.81375
ASV_2098,rare,2,0.25477707,n1,0.81375
ASV_2135,rare,1,0.127388535,n1,0.81375
ASV_2237,rare,2,0.25477707,n1,0.81375
ASV_2248,rare,1,0.127388535,n1,0.81375
ASV_2315,rare,1,0.127388535,n1,0.81375
ASV_2361,rare,1,0.127388535,n1,0.81375
ASV_2409,rare,1,0.127388535,n1,0.81375
ASV_2413,rare,6,0.76433121,n1,0.81375
ASV_2422,rare,1,0.127388535,n1,0.81375
ASV_2449,rare,1,0.127388535,n1,0.81375
ASV_2563,rare,2,0.25477707,n1,0.81375
ASV_2601,rare,9,1.146496815,n1,0.81375
ASV_2666,rare,4,0.50955414,n1,0.81375
ASV_2709,rare,1,0.127388535,n1,0.81375
ASV_2797,rare,1,0.127388535,n1,0.81375
ASV_2860,rare,1,0.127388535,n1,0.81375
ASV_971,rare,1,0.127388535,n1,0.81375
ASV_993,rare,2,0.25477707,n1,0.81375
ASV_1,abundant,33,4.405874499,n2,2.14375
ASV_102,abundant,22,2.937249666,n2,2.14375
ASV_104,abundant,6,0.801068091,n2,2.14375
ASV_106,abundant,9,1.201602136,n2,2.14375
ASV_108,abundant,1,0.133511348,n2,2.14375
ASV_109,abundant,4,0.534045394,n2,2.14375
ASV_11,abundant,12,1.602136182,n2,2.14375
ASV_111,abundant,11,1.468624833,n2,2.14375
ASV_116,abundant,1,0.133511348,n2,2.14375
ASV_119,abundant,7,0.934579439,n2,2.14375
ASV_121,abundant,8,1.068090788,n2,2.14375
ASV_122,abundant,4,0.534045394,n2,2.14375
ASV_123,abundant,5,0.667556742,n2,2.14375
ASV_124,abundant,7,0.934579439,n2,2.14375
ASV_125,abundant,5,0.667556742,n2,2.14375
ASV_126,abundant,10,1.335113485,n2,2.14375
ASV_127,abundant,11,1.468624833,n2,2.14375
ASV_128,abundant,4,0.534045394,n2,2.14375
ASV_129,abundant,4,0.534045394,n2,2.14375
ASV_13,abundant,14,1.869158879,n2,2.14375
ASV_130,abundant,23,3.070761015,n2,2.14375
ASV_131,abundant,3,0.400534045,n2,2.14375
