ID,type,node.degree,relative.degree,Network,Salinity
ASV_1,abundant,1,0.476417342,n5,16.3125
ASV_103,abundant,3,1.429252025,n5,16.3125
ASV_106,abundant,1,0.476417342,n5,16.3125
ASV_108,abundant,2,0.952834683,n5,16.3125
ASV_109,abundant,2,0.952834683,n5,16.3125
ASV_11,abundant,2,0.952834683,n5,16.3125
ASV_110,abundant,4,1.905669366,n5,16.3125
ASV_112,abundant,1,0.476417342,n5,16.3125
ASV_117,abundant,2,0.952834683,n5,16.3125
ASV_12,abundant,2,0.952834683,n5,16.3125
ASV_123,abundant,1,0.476417342,n5,16.3125
ASV_124,abundant,4,1.905669366,n5,16.3125
ASV_125,abundant,2,0.952834683,n5,16.3125
ASV_126,abundant,1,0.476417342,n5,16.3125
ASV_127,abundant,1,0.476417342,n5,16.3125
ASV_13,abundant,2,0.952834683,n5,16.3125
ASV_135,abundant,6,2.85850405,n5,16.3125
ASV_136,abundant,1,0.476417342,n5,16.3125
ASV_140,abundant,1,0.476417342,n5,16.3125
ASV_142,abundant,1,0.476417342,n5,16.3125
ASV_15,abundant,2,0.952834683,n5,16.3125
ASV_150,abundant,1,0.476417342,n5,16.3125
ASV_151,abundant,5,2.382086708,n5,16.3125
ASV_152,abundant,1,0.476417342,n5,16.3125
ASV_153,abundant,5,2.382086708,n5,16.3125
ASV_154,abundant,1,0.476417342,n5,16.3125
ASV_159,abundant,3,1.429252025,n5,16.3125
ASV_162,abundant,1,0.476417342,n5,16.3125
ASV_163,abundant,4,1.905669366,n5,16.3125
ASV_166,abundant,9,4.287756074,n5,16.3125
ASV_171,abundant,3,1.429252025,n5,16.3125
ASV_172,abundant,5,2.382086708,n5,16.3125
ASV_175,abundant,4,1.905669366,n5,16.3125
ASV_176,abundant,2,0.952834683,n5,16.3125
ASV_177,abundant,1,0.476417342,n5,16.3125
ASV_178,abundant,2,0.952834683,n5,16.3125
ASV_18,abundant,4,1.905669366,n5,16.3125
ASV_180,abundant,2,0.952834683,n5,16.3125
ASV_181,abundant,4,1.905669366,n5,16.3125
ASV_182,abundant,2,0.952834683,n5,16.3125
ASV_183,abundant,3,1.429252025,n5,16.3125
ASV_184,abundant,1,0.476417342,n5,16.3125
ASV_186,abundant,1,0.476417342,n5,16.3125
ASV_19,abundant,3,1.429252025,n5,16.3125
ASV_192,abundant,2,0.952834683,n5,16.3125
ASV_198,abundant,4,1.905669366,n5,16.3125
ASV_200,abundant,4,1.905669366,n5,16.3125
ASV_203,abundant,1,0.476417342,n5,16.3125
ASV_22,abundant,3,1.429252025,n5,16.3125
ASV_25,abundant,4,1.905669366,n5,16.3125
ASV_26,abundant,1,0.476417342,n5,16.3125
ASV_27,abundant,2,0.952834683,n5,16.3125
ASV_28,abundant,2,0.952834683,n5,16.3125
ASV_3,abundant,4,1.905669366,n5,16.3125
ASV_31,abundant,2,0.952834683,n5,16.3125
ASV_32,abundant,2,0.952834683,n5,16.3125
ASV_34,abundant,2,0.952834683,n5,16.3125
ASV_35,abundant,1,0.476417342,n5,16.3125
ASV_37,abundant,2,0.952834683,n5,16.3125
ASV_39,abundant,6,2.85850405,n5,16.3125
ASV_4,abundant,1,0.476417342,n5,16.3125
ASV_40,abundant,1,0.476417342,n5,16.3125
ASV_42,abundant,5,2.382086708,n5,16.3125
ASV_44,abundant,4,1.905669366,n5,16.3125
ASV_45,abundant,4,1.905669366,n5,16.3125
ASV_47,abundant,5,2.382086708,n5,16.3125
ASV_50,abundant,3,1.429252025,n5,16.3125
ASV_52,abundant,1,0.476417342,n5,16.3125
ASV_55,abundant,6,2.85850405,n5,16.3125
ASV_57,abundant,1,0.476417342,n5,16.3125
ASV_6,abundant,4,1.905669366,n5,16.3125
ASV_60,abundant,4,1.905669366,n5,16.3125
ASV_61,abundant,3,1.429252025,n5,16.3125
ASV_64,abundant,3,1.429252025,n5,16.3125
ASV_65,abundant,2,0.952834683,n5,16.3125
ASV_66,abundant,1,0.476417342,n5,16.3125
ASV_68,abundant,2,0.952834683,n5,16.3125
ASV_72,abundant,5,2.382086708,n5,16.3125
ASV_73,abundant,2,0.952834683,n5,16.3125
ASV_74,abundant,8,3.811338733,n5,16.3125
ASV_75,abundant,1,0.476417342,n5,16.3125
ASV_79,abundant,1,0.476417342,n5,16.3125
ASV_8,abundant,1,0.476417342,n5,16.3125
ASV_843,abundant,2,0.952834683,n5,16.3125
ASV_86,abundant,4,1.905669366,n5,16.3125
ASV_89,abundant,4,1.905669366,n5,16.3125
ASV_91,abundant,3,1.429252025,n5,16.3125
ASV_92,abundant,4,1.905669366,n5,16.3125
ASV_93,abundant,5,2.382086708,n5,16.3125
ASV_96,abundant,5,2.382086708,n5,16.3125
ASV_97,abundant,3,1.429252025,n5,16.3125
ASV_99,abundant,2,0.952834683,n5,16.3125
ASV_1047,rare,1,0.476417342,n5,16.3125
ASV_1065,rare,1,0.476417342,n5,16.3125
ASV_1073,rare,1,0.476417342,n5,16.3125
ASV_1133,rare,2,0.952834683,n5,16.3125
ASV_1163,rare,1,0.476417342,n5,16.3125
ASV_1165,rare,1,0.476417342,n5,16.3125
ASV_1185,rare,1,0.476417342,n5,16.3125
ASV_1191,rare,2,0.952834683,n5,16.3125
ASV_1204,rare,1,0.476417342,n5,16.3125
ASV_1339,rare,1,0.476417342,n5,16.3125
ASV_1345,rare,2,0.952834683,n5,16.3125
ASV_1355,rare,1,0.476417342,n5,16.3125
ASV_1390,rare,2,0.952834683,n5,16.3125
ASV_1439,rare,1,0.476417342,n5,16.3125
ASV_1478,rare,3,1.429252025,n5,16.3125
ASV_1488,rare,2,0.952834683,n5,16.3125
ASV_1513,rare,1,0.476417342,n5,16.3125
ASV_1522,rare,1,0.476417342,n5,16.3125
ASV_1652,rare,1,0.476417342,n5,16.3125
ASV_1683,rare,1,0.476417342,n5,16.3125
ASV_1729,rare,2,0.952834683,n5,16.3125
ASV_1735,rare,2,0.952834683,n5,16.3125
ASV_1781,rare,1,0.476417342,n5,16.3125
ASV_1839,rare,1,0.476417342,n5,16.3125
ASV_2157,rare,1,0.476417342,n5,16.3125
ASV_2169,rare,1,0.476417342,n5,16.3125
ASV_2484,rare,1,0.476417342,n5,16.3125
ASV_2541,rare,1,0.476417342,n5,16.3125
ASV_2562,rare,1,0.476417342,n5,16.3125
ASV_2600,rare,1,0.476417342,n5,16.3125
ASV_2679,rare,1,0.476417342,n5,16.3125
ASV_2731,rare,5,2.382086708,n5,16.3125
