ID,type,node.degree,relative.degree,Network,Salinity
ASV_1,abundant,7,1.415571284,n4,12.1325
ASV_102,abundant,9,1.820020222,n4,12.1325
ASV_103,abundant,1,0.202224469,n4,12.1325
ASV_104,abundant,11,2.224469161,n4,12.1325
ASV_106,abundant,3,0.606673407,n4,12.1325
ASV_108,abundant,24,4.85338726,n4,12.1325
ASV_109,abundant,1,0.202224469,n4,12.1325
ASV_111,abundant,3,0.606673407,n4,12.1325
ASV_112,abundant,1,0.202224469,n4,12.1325
ASV_116,abundant,1,0.202224469,n4,12.1325
ASV_119,abundant,2,0.404448938,n4,12.1325
ASV_12,abundant,26,5.257836198,n4,12.1325
ASV_121,abundant,1,0.202224469,n4,12.1325
ASV_123,abundant,2,0.404448938,n4,12.1325
ASV_126,abundant,1,0.202224469,n4,12.1325
ASV_127,abundant,5,1.011122346,n4,12.1325
ASV_128,abundant,7,1.415571284,n4,12.1325
ASV_129,abundant,9,1.820020222,n4,12.1325
ASV_13,abundant,3,0.606673407,n4,12.1325
ASV_130,abundant,1,0.202224469,n4,12.1325
ASV_131,abundant,11,2.224469161,n4,12.1325
ASV_133,abundant,15,3.033367037,n4,12.1325
ASV_135,abundant,30,6.066734075,n4,12.1325
ASV_137,abundant,3,0.606673407,n4,12.1325
ASV_14,abundant,1,0.202224469,n4,12.1325
ASV_140,abundant,1,0.202224469,n4,12.1325
ASV_141,abundant,8,1.617795753,n4,12.1325
ASV_144,abundant,4,0.808897877,n4,12.1325
ASV_146,abundant,5,1.011122346,n4,12.1325
ASV_148,abundant,4,0.808897877,n4,12.1325
ASV_15,abundant,1,0.202224469,n4,12.1325
ASV_156,abundant,7,1.415571284,n4,12.1325
ASV_157,abundant,15,3.033367037,n4,12.1325
ASV_158,abundant,1,0.202224469,n4,12.1325
ASV_159,abundant,1,0.202224469,n4,12.1325
ASV_16,abundant,15,3.033367037,n4,12.1325
ASV_160,abundant,5,1.011122346,n4,12.1325
ASV_161,abundant,5,1.011122346,n4,12.1325
