ID,type,node.degree,relative.degree,Network,Salinity
ASV_77,abundant,18,1.966353507,n3,4.94625
ASV_78,abundant,5,0.546209307,n3,4.94625
ASV_79,abundant,1,0.109241861,n3,4.94625
ASV_8,abundant,31,3.386497706,n3,4.94625
ASV_80,abundant,4,0.436967446,n3,4.94625
ASV_83,abundant,16,1.747869784,n3,4.94625
ASV_84,abundant,28,3.058772121,n3,4.94625
ASV_843,abundant,48,5.243609351,n3,4.94625
ASV_85,abundant,7,0.76469303,n3,4.94625
ASV_86,abundant,10,1.092418615,n3,4.94625
ASV_87,abundant,7,0.76469303,n3,4.94625
ASV_88,abundant,40,4.369674459,n3,4.94625
ASV_89,abundant,9,0.983176753,n3,4.94625
ASV_91,abundant,17,1.857111645,n3,4.94625
ASV_92,abundant,7,0.76469303,n3,4.94625
ASV_95,abundant,12,1.310902338,n3,4.94625
ASV_97,abundant,21,2.294079091,n3,4.94625
ASV_99,abundant,10,1.092418615,n3,4.94625
ASV_1017,rare,1,0.109241861,n3,4.94625
ASV_1058,rare,5,0.546209307,n3,4.94625
ASV_1072,rare,1,0.109241861,n3,4.94625
ASV_1088,rare,1,0.109241861,n3,4.94625
ASV_1115,rare,1,0.109241861,n3,4.94625
ASV_1165,rare,1,0.109241861,n3,4.94625
ASV_1169,rare,21,2.294079091,n3,4.94625
ASV_1187,rare,1,0.109241861,n3,4.94625
ASV_1211,rare,1,0.109241861,n3,4.94625
ASV_1214,rare,2,0.218483723,n3,4.94625
ASV_1221,rare,2,0.218483723,n3,4.94625
ASV_1224,rare,4,0.436967446,n3,4.94625
ASV_1238,rare,1,0.109241861,n3,4.94625
ASV_1256,rare,1,0.109241861,n3,4.94625
ASV_1270,rare,2,0.218483723,n3,4.94625
ASV_1302,rare,2,0.218483723,n3,4.94625
ASV_1306,rare,16,1.747869784,n3,4.94625
ASV_1319,rare,2,0.218483723,n3,4.94625
ASV_1376,rare,3,0.327725584,n3,4.94625
ASV_1429,rare,1,0.109241861,n3,4.94625
ASV_1457,rare,2,0.218483723,n3,4.94625
ASV_1458,rare,6,0.655451169,n3,4.94625
ASV_1485,rare,2,0.218483723,n3,4.94625
ASV_1521,rare,1,0.109241861,n3,4.94625
ASV_1673,rare,1,0.109241861,n3,4.94625
ASV_1681,rare,1,0.109241861,n3,4.94625
ASV_1809,rare,5,0.546209307,n3,4.94625
ASV_1899,rare,1,0.109241861,n3,4.94625
ASV_2132,rare,4,0.436967446,n3,4.94625
ASV_2167,rare,2,0.218483723,n3,4.94625
ASV_2193,rare,1,0.109241861,n3,4.94625
ASV_2242,rare,15,1.638627922,n3,4.94625
ASV_2315,rare,1,0.109241861,n3,4.94625
ASV_2328,rare,8,0.873934892,n3,4.94625
ASV_2347,rare,1,0.109241861,n3,4.94625
ASV_2490,rare,1,0.109241861,n3,4.94625
ASV_2683,rare,1,0.109241861,n3,4.94625
ASV_2747,rare,1,0.109241861,n3,4.94625
ASV_2797,rare,1,0.109241861,n3,4.94625
ASV_983,rare,1,0.109241861,n3,4.94625
ASV_987,rare,4,0.436967446,n3,4.94625
