ID,type,node.degree,relative.degree,Network,Salinity
ASV_109,abundant,3,1.803968731,n6,20.7625
ASV_11,abundant,1,0.60132291,n6,20.7625
ASV_110,abundant,1,0.60132291,n6,20.7625
ASV_112,abundant,3,1.803968731,n6,20.7625
ASV_114,abundant,1,0.60132291,n6,20.7625
ASV_117,abundant,1,0.60132291,n6,20.7625
ASV_119,abundant,1,0.60132291,n6,20.7625
ASV_121,abundant,1,0.60132291,n6,20.7625
ASV_122,abundant,1,0.60132291,n6,20.7625
ASV_126,abundant,1,0.60132291,n6,20.7625
ASV_127,abundant,2,1.202645821,n6,20.7625
ASV_129,abundant,4,2.405291642,n6,20.7625
ASV_134,abundant,1,0.60132291,n6,20.7625
ASV_137,abundant,1,0.60132291,n6,20.7625
ASV_142,abundant,4,2.405291642,n6,20.7625
ASV_147,abundant,7,4.209260373,n6,20.7625
ASV_15,abundant,4,2.405291642,n6,20.7625
ASV_150,abundant,2,1.202645821,n6,20.7625
ASV_151,abundant,3,1.803968731,n6,20.7625
ASV_152,abundant,2,1.202645821,n6,20.7625
ASV_159,abundant,1,0.60132291,n6,20.7625
ASV_16,abundant,1,0.60132291,n6,20.7625
ASV_161,abundant,1,0.60132291,n6,20.7625
ASV_163,abundant,5,3.006614552,n6,20.7625
ASV_164,abundant,2,1.202645821,n6,20.7625
ASV_166,abundant,2,1.202645821,n6,20.7625
ASV_17,abundant,7,4.209260373,n6,20.7625
ASV_170,abundant,1,0.60132291,n6,20.7625
ASV_171,abundant,1,0.60132291,n6,20.7625
ASV_173,abundant,1,0.60132291,n6,20.7625
ASV_174,abundant,2,1.202645821,n6,20.7625
ASV_176,abundant,3,1.803968731,n6,20.7625
ASV_179,abundant,2,1.202645821,n6,20.7625
ASV_182,abundant,1,0.60132291,n6,20.7625
ASV_185,abundant,1,0.60132291,n6,20.7625
ASV_188,abundant,1,0.60132291,n6,20.7625
ASV_190,abundant,1,0.60132291,n6,20.7625
ASV_192,abundant,1,0.60132291,n6,20.7625
ASV_193,abundant,5,3.006614552,n6,20.7625
ASV_194,abundant,1,0.60132291,n6,20.7625
ASV_2,abundant,3,1.803968731,n6,20.7625
ASV_200,abundant,1,0.60132291,n6,20.7625
ASV_203,abundant,1,0.60132291,n6,20.7625
ASV_21,abundant,1,0.60132291,n6,20.7625
ASV_22,abundant,1,0.60132291,n6,20.7625
ASV_23,abundant,2,1.202645821,n6,20.7625
ASV_29,abundant,1,0.60132291,n6,20.7625
ASV_3,abundant,5,3.006614552,n6,20.7625
ASV_30,abundant,3,1.803968731,n6,20.7625
ASV_32,abundant,4,2.405291642,n6,20.7625
ASV_36,abundant,5,3.006614552,n6,20.7625
ASV_40,abundant,4,2.405291642,n6,20.7625
ASV_42,abundant,1,0.60132291,n6,20.7625
ASV_45,abundant,4,2.405291642,n6,20.7625
ASV_46,abundant,1,0.60132291,n6,20.7625
ASV_47,abundant,1,0.60132291,n6,20.7625
ASV_48,abundant,1,0.60132291,n6,20.7625
