,Difference,Network,Salinity
200,0,n1,0.81375
201,-0.127388535,n1,0.81375
202,0.382165605,n1,0.81375
203,0.127388535,n1,0.81375
204,0.382165605,n1,0.81375
205,0.382165605,n1,0.81375
206,0.382165605,n1,0.81375
207,0.25477707,n1,0.81375
208,0.382165605,n1,0.81375
209,0.25477707,n1,0.81375
210,0.25477707,n1,0.81375
211,0.382165605,n1,0.81375
212,0.127388535,n1,0.81375
213,0.382165605,n1,0.81375
214,-0.127388535,n1,0.81375
215,0.25477707,n1,0.81375
216,0.25477707,n1,0.81375
217,0.127388535,n1,0.81375
218,0.382165605,n1,0.81375
219,0.25477707,n1,0.81375
220,0.382165605,n1,0.81375
221,-0.50955414,n1,0.81375
222,0.25477707,n1,0.81375
223,0.382165605,n1,0.81375
224,0,n1,0.81375
225,0.382165605,n1,0.81375
226,0.382165605,n1,0.81375
227,0.127388535,n1,0.81375
228,-0.25477707,n1,0.81375
229,0,n1,0.81375
230,0.25477707,n1,0.81375
231,0,n1,0.81375
232,0.25477707,n1,0.81375
233,0.382165605,n1,0.81375
234,0.382165605,n1,0.81375
235,0.382165605,n1,0.81375
236,0.25477707,n1,0.81375
237,0.127388535,n1,0.81375
238,-0.127388535,n1,0.81375
239,0.25477707,n1,0.81375
240,-3.439490446,n1,0.81375
241,-2.802547771,n1,0.81375
242,0.382165605,n1,0.81375
243,0.127388535,n1,0.81375
244,0.127388535,n1,0.81375
245,0.382165605,n1,0.81375
246,0.25477707,n1,0.81375
247,0.382165605,n1,0.81375
248,-0.50955414,n1,0.81375
249,0.25477707,n1,0.81375
250,0.127388535,n1,0.81375
251,0,n1,0.81375
252,0.25477707,n1,0.81375
253,0.25477707,n1,0.81375
254,0.382165605,n1,0.81375
255,0.25477707,n1,0.81375
256,0.382165605,n1,0.81375
257,0.382165605,n1,0.81375
258,0.382165605,n1,0.81375
259,0.382165605,n1,0.81375
260,-0.25477707,n1,0.81375
261,0.382165605,n1,0.81375
262,0.382165605,n1,0.81375
263,0.25477707,n1,0.81375
264,-0.636942675,n1,0.81375
265,0,n1,0.81375
266,0.382165605,n1,0.81375
267,0.382165605,n1,0.81375
268,0.382165605,n1,0.81375
269,0.382165605,n1,0.81375
270,0.25477707,n1,0.81375
271,1.910828026,n1,0.81375
272,1.910828026,n1,0.81375
273,1.783439491,n1,0.81375
274,1.401273886,n1,0.81375
275,1.910828026,n1,0.81375
276,1.910828026,n1,0.81375
277,1.910828026,n1,0.81375
278,1.528662421,n1,0.81375
279,1.910828026,n1,0.81375
280,1.401273886,n1,0.81375
281,1.910828026,n1,0.81375
282,1.910828026,n1,0.81375
283,1.910828026,n1,0.81375
284,1.910828026,n1,0.81375
285,1.910828026,n1,0.81375
286,0.764331211,n1,0.81375
287,1.528662421,n1,0.81375
288,1.910828026,n1,0.81375
289,1.783439491,n1,0.81375
290,1.528662421,n1,0.81375
291,1.401273886,n1,0.81375
292,1.910828026,n1,0.81375
293,1.656050956,n1,0.81375
294,1.910828026,n1,0.81375
295,1.910828026,n1,0.81375
296,1.910828026,n1,0.81375
297,1.783439491,n1,0.81375
298,1.910828026,n1,0.81375
299,1.783439491,n1,0.81375
300,1.783439491,n1,0.81375
301,1.910828026,n1,0.81375
302,1.656050956,n1,0.81375
303,1.910828026,n1,0.81375
304,1.401273886,n1,0.81375
305,1.783439491,n1,0.81375
306,1.783439491,n1,0.81375
307,1.656050956,n1,0.81375
308,1.910828026,n1,0.81375
309,1.783439491,n1,0.81375
310,1.910828026,n1,0.81375
311,1.019108281,n1,0.81375
312,1.783439491,n1,0.81375
313,1.910828026,n1,0.81375
314,1.528662421,n1,0.81375
315,1.910828026,n1,0.81375
316,1.910828026,n1,0.81375
317,1.656050956,n1,0.81375
318,1.273885351,n1,0.81375
319,1.528662421,n1,0.81375
320,1.783439491,n1,0.81375
321,1.528662421,n1,0.81375
322,1.783439491,n1,0.81375
323,1.910828026,n1,0.81375
324,1.910828026,n1,0.81375
325,1.910828026,n1,0.81375
326,1.783439491,n1,0.81375
327,1.656050956,n1,0.81375
328,1.401273886,n1,0.81375
329,1.783439491,n1,0.81375
330,-1.910828025,n1,0.81375
331,-1.27388535,n1,0.81375
332,1.910828026,n1,0.81375
333,1.656050956,n1,0.81375
334,1.656050956,n1,0.81375
335,1.910828026,n1,0.81375
336,1.783439491,n1,0.81375
337,1.910828026,n1,0.81375
338,1.019108281,n1,0.81375
339,1.783439491,n1,0.81375
340,1.656050956,n1,0.81375
341,1.528662421,n1,0.81375
342,1.783439491,n1,0.81375
343,1.783439491,n1,0.81375
344,1.910828026,n1,0.81375
345,1.783439491,n1,0.81375
346,1.910828026,n1,0.81375
347,1.910828026,n1,0.81375
348,1.910828026,n1,0.81375
349,1.910828026,n1,0.81375
350,1.273885351,n1,0.81375
351,1.910828026,n1,0.81375
352,1.910828026,n1,0.81375
353,1.783439491,n1,0.81375
354,0.891719746,n1,0.81375
355,1.528662421,n1,0.81375
356,1.910828026,n1,0.81375
357,1.910828026,n1,0.81375
358,1.910828026,n1,0.81375
359,1.910828026,n1,0.81375
360,1.783439491,n1,0.81375
361,0,n1,0.81375
362,0,n1,0.81375
363,-0.127388535,n1,0.81375
364,-0.50955414,n1,0.81375
365,0,n1,0.81375
366,0,n1,0.81375
367,0,n1,0.81375
368,-0.382165605,n1,0.81375
369,0,n1,0.81375
370,-0.50955414,n1,0.81375
371,0,n1,0.81375
372,0,n1,0.81375
373,0,n1,0.81375
374,0,n1,0.81375
375,0,n1,0.81375
376,-1.146496815,n1,0.81375
377,-0.382165605,n1,0.81375
378,0,n1,0.81375
379,-0.127388535,n1,0.81375
380,-0.382165605,n1,0.81375
381,-0.50955414,n1,0.81375
382,0,n1,0.81375
383,-0.25477707,n1,0.81375
384,0,n1,0.81375
385,0,n1,0.81375
386,0,n1,0.81375
387,-0.127388535,n1,0.81375
388,0,n1,0.81375
389,-0.127388535,n1,0.81375
390,-0.127388535,n1,0.81375
391,0,n1,0.81375
392,-0.25477707,n1,0.81375
393,0,n1,0.81375
394,-0.50955414,n1,0.81375
395,-0.127388535,n1,0.81375
396,-0.127388535,n1,0.81375
397,-0.25477707,n1,0.81375
398,0,n1,0.81375
399,-0.127388535,n1,0.81375
400,0,n1,0.81375
401,-0.891719745,n1,0.81375
402,-0.127388535,n1,0.81375
403,0,n1,0.81375
404,-0.382165605,n1,0.81375
405,0,n1,0.81375
406,0,n1,0.81375
407,-0.25477707,n1,0.81375
408,-0.636942675,n1,0.81375
409,-0.382165605,n1,0.81375
410,-0.127388535,n1,0.81375
411,-0.382165605,n1,0.81375
412,-0.127388535,n1,0.81375
413,0,n1,0.81375
414,0,n1,0.81375
415,0,n1,0.81375
416,-0.127388535,n1,0.81375
417,-0.25477707,n1,0.81375
418,-0.50955414,n1,0.81375
419,-0.127388535,n1,0.81375
420,-3.821656051,n1,0.81375
421,-3.184713376,n1,0.81375
422,0,n1,0.81375
423,-0.25477707,n1,0.81375
424,-0.25477707,n1,0.81375
425,0,n1,0.81375
426,-0.127388535,n1,0.81375
427,0,n1,0.81375
428,-0.891719745,n1,0.81375
429,-0.127388535,n1,0.81375
430,-0.25477707,n1,0.81375
431,-0.382165605,n1,0.81375
432,-0.127388535,n1,0.81375
433,-0.127388535,n1,0.81375
434,0,n1,0.81375
435,-0.127388535,n1,0.81375
436,0,n1,0.81375
437,0,n1,0.81375
438,0,n1,0.81375
439,0,n1,0.81375
440,-0.636942675,n1,0.81375
441,0,n1,0.81375
442,0,n1,0.81375
443,-0.127388535,n1,0.81375
444,-1.01910828,n1,0.81375
445,-0.382165605,n1,0.81375
446,0,n1,0.81375
447,0,n1,0.81375
448,0,n1,0.81375
449,0,n1,0.81375
450,-0.127388535,n1,0.81375
451,3.566878981,n1,0.81375
452,3.566878981,n1,0.81375
453,3.439490446,n1,0.81375
454,3.057324841,n1,0.81375
455,3.566878981,n1,0.81375
456,3.566878981,n1,0.81375
457,3.566878981,n1,0.81375
458,3.184713376,n1,0.81375
459,3.566878981,n1,0.81375
460,3.057324841,n1,0.81375
461,3.566878981,n1,0.81375
462,3.566878981,n1,0.81375
463,3.566878981,n1,0.81375
464,3.566878981,n1,0.81375
465,3.566878981,n1,0.81375
466,2.420382166,n1,0.81375
467,3.184713376,n1,0.81375
468,3.566878981,n1,0.81375
469,3.439490446,n1,0.81375
470,3.184713376,n1,0.81375
471,3.057324841,n1,0.81375
472,3.566878981,n1,0.81375
473,3.312101911,n1,0.81375
474,3.566878981,n1,0.81375
475,3.566878981,n1,0.81375
476,3.566878981,n1,0.81375
477,3.439490446,n1,0.81375
478,3.566878981,n1,0.81375
479,3.439490446,n1,0.81375
480,3.439490446,n1,0.81375
481,3.566878981,n1,0.81375
482,3.312101911,n1,0.81375
483,3.566878981,n1,0.81375
484,3.057324841,n1,0.81375
485,3.439490446,n1,0.81375
486,3.439490446,n1,0.81375
487,3.312101911,n1,0.81375
488,3.566878981,n1,0.81375
489,3.439490446,n1,0.81375
490,3.566878981,n1,0.81375
491,2.675159236,n1,0.81375
492,3.439490446,n1,0.81375
493,3.566878981,n1,0.81375
494,3.184713376,n1,0.81375
495,3.566878981,n1,0.81375
496,3.566878981,n1,0.81375
497,3.312101911,n1,0.81375
498,2.929936306,n1,0.81375
499,3.184713376,n1,0.81375
500,3.439490446,n1,0.81375
501,3.184713376,n1,0.81375
502,3.439490446,n1,0.81375
503,3.566878981,n1,0.81375
504,3.566878981,n1,0.81375
