Network,Salinity,Total nodes,Total links,Average degree (avgK),Average clustering coefficient (avgCC),Density (D),Connectedness (Con),Modularity,No. module
n1,0.81375,505,1982,7.85,0.3,0.016,0.591,0.504,61
n2,2.14375,447,1674,7.49,0.312,0.017,0.742,0.62,42
n3,4.94625,492,2252,9.154,0.356,0.019,0.56,0.605,50
n4,12.1325,345,853,4.945,0.268,0.014,0.291,0.594,61
n5,16.3125,283,297,2.099,0.23,0.007,0.038,0.93,71
n6,20.7625,243,202,1.663,0.12,0.007,0.016,0.951,78
